XII Sc.A,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
MATHS,PHY,CHEM,CS&ECO,ENG,PED{S},LIBS{S},PHY&CHEM PR{S}{D},ECO&COMP.PR.1{S}{D},CT{U},ASSEMBLY{U},,,,,,,,
8,6,6,6,6,1,1,4,2,4,1,,,,,,,,
,,,,,,,,,"['00', '10', '30', '40']",['20'],,,,,,,,
,,,,,,,,,,,,,,,,,,
TOTAL,0,,,,,,,,,,,,,,,,,
BREAK,5,,,,,,,,,,,,,,,,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
XII Sc.B,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
MATHS,PHY,CHEM,BIO,ENG,PED{S},LIBS{S},PHY&CHEM PR{S}{D},BIO PR{S}{D},CT{U},ASSEMBLY{U},,,,,,,,
8,6,6,6,6,1,1,4,2,4,1,,,,,,,,
,,,,,,,,,"['00', '10', '30', '40']",['20'],,,,,,,,
,,,,,,,,,,,,,,,,,,
TOTAL,0,,,,,,,,,,,,,,,,,
BREAK,5,,,,,,,,,,,,,,,,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
XII Sc.C,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
MATHS,PHY,CHEM,CS&ECO,ENG,PED{S},LIBS{S},PHY&CHEM PR{S}{D},ECO&COMP.PR.1{S}{D},CT{U},ASSEMBLY{U},,,,,,,,
8,6,6,6,6,1,1,4,2,4,1,,,,,,,,
,,,,,,,,,"['00', '10', '30', '40']",['20'],,,,,,,,
,,,,,,,,,,,,,,,,,,
TOTAL,0,,,,,,,,,,,,,,,,,
BREAK,5,,,,,,,,,,,,,,,,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
XII Com.A,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
MATHS,ACC,BST,ECO,PSY,ENG,PED{S},LIBS{S},CT{U},ASSEMBLY{U},,,,,,,,,
7,7,6,6,6,6,1,1,4,1,,,,,,,,,
,,,,,,,,"['00', '10', '30', '40']",['20'],,,,,,,,,
,,,,,,,,,,,,,,,,,,
TOTAL,0,,,,,,,,,,,,,,,,,
BREAK,5,,,,,,,,,,,,,,,,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
XII Com.B,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
MATHS,ACC,BST,ECO,IP,ENG,PED{S},LIBS{S},COMP.PR.1{S}{D},CT{U},ASSEMBLY{U},,,,,,,,
6,6,6,6,6,6,1,1,2,4,1,,,,,,,,
,,,,,,,,,"['00', '10', '30', '40']",['20'],,,,,,,,
,,,,,,,,,,,,,,,,,,
TOTAL,0,,,,,,,,,,,,,,,,,
BREAK,5,,,,,,,,,,,,,,,,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
XII Com.C,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
MATHS,ACC,BST,ECO,PSY,ENG,PED{S},LIBS{S},CT{U},ASSEMBLY{U},,,,,,,,,
7,7,6,6,6,6,1,1,4,1,,,,,,,,,
,,,,,,,,"['00', '10', '30', '40']",['20'],,,,,,,,,
