XII Sc.A,,
,,
MATHS,MA02,
PHY,NE01,
CHEM,KA01,
CS&ECO,AN06,DR01
ENG,RA05,
PED,PE01,
LIBS,LI01,
PHY&CHEM PR,NE01,KA01
ECO&COMP.PR.1,DR01,AN06
CT,KA01,
CO-CT,RA05,
,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,
,,
XII Sc.B,,
,,
MATHS,MA09,
PHY,CH02,
CHEM,VA02,
BIO,RA01,
ENG,RA05,
PED,PE02,
LIBS,LI01,
PHY&CHEM PR,CH02,VA02
BIO PR,RA01,
CT,VA02,
CO-CT,RA01,
,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,
,,
XII Sc.C,,
,,
MATHS,MA10,
PHY,AN08,
CHEM,VA02,
CS&ECO,NI03,AN04
ENG,PR01,
PED,PE03,
LIBS,LI01,
PHY&CHEM PR,AN08,VA02
ECO&COMP.PR.1,AN04,NI03
CT,MA10,
CO-CT,AN08,
,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,
,,
XII Com.A,,
,,
MATHS,GA02,
ACC,RI02,
BST,CH04,
ECO,JA01,
PSY,KR01,
ENG,AR01,
PED,PE04,
LIBS,LI01,
CT,GA02,
CO-CT,KR01,
,,
,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,
,,
XII Com.B,,
,,
MATHS,MA07,
ACC,AN03,
BST,AS01,
ECO,AN04,
IP,AD01,
ENG,RA05,
PED,PE05,
LIBS,LI01,
COMP.PR.1,AD01,
CT,MA07,
CO-CT,RI02,
,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,
,,
XII Com.C,,
,,
MATHS,MA07,
ACC,RI02,
BST,VI02,
ECO,TU01,
PSY,DI02,
ENG,SA02,
PED,PE01,
LIBS,LI01,
CT,TU01,
CO-CT,VI02,
,,
,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,
,,
XI Sc.A,,
,,
MATHS,MA08,
PHY,FA01,
CHEM,AD03,
CS&ECO,NI03,AM01
ENG,PO01,
PED,PE02,
LIBS,LI01,
PHY&CHEM PR,FA01,AD03
ECO&COMP.PR.1,AM01,NI03
CT,MA08,
CO-CT,FA01,
,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,
,,
XI Sc.B,,
,,
MATHS,IS01,
PHY,DE03,
CHEM,CH03,
BIO,AA04,
ENG,SA02,
PED,PE03,
LIBS,LI01,
PHY&CHEM PR,DE03,CH03
BIO PR,AA04,
CT,IS01,
CO-CT,CH03,
,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,
,,
XI Sc.C,,
,,
MATHS,MA03,
PHY,CH02,
CHEM,SY01,
CS&ECO,RO05,VI03
ENG,RO03,
PED,PE04,
LIBS,LI01,
PHY&CHEM PR,CH02,SY01
ECO&COMP.PR.1,VI03,RO05
CT,RO05,
CO-CT,SY01,
,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,
,,
XI Com.A,,
,,
MATHS,IS02,
ACC,TA02,
BST,KA02,
ECO,TU01,
PSY,DH01,
ENG,DE02,
PED,PE04,
LIBS,LI01,
CT,TA02,
CO-CT,TA02,
,,
,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,
,,
XI Com.B,,
,,
MATHS,MA06,
ACC,BH02,
BST,TA01,
ECO,MA01,
IP,AN06,
ENG,PR01,
PED,PE05,
LIBS,LI01,
COMP.PR.1,AN06,
CT,BH02,
CO-CT,BH02,
,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,
,,
XI Com.C,,
,,
MATHS,AD02,
ACC,CH01,
BST,CH04,
ECO,JA02,
PSY,KR02,
ENG,DE02,
PED,PE01,
LIBS,LI01,
CT,JA02,
CO-CT,JA02,
,,
,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,
,,
X A,,
,,
MATHS,GA02,
PHY,AN08,
CHEM,RO04,
CS,NI03,
BIO,AA04,
HIST,KA03,
GEO,IR01,
HINDI,AH01,
ENG,RO03,
PED,PE02,
PHY&CHEM PR,AN08,RO04
BIO PR,AA04,
LIBS,LI01,
COMP.PR.1,NI03,
CT,KA03,
CO-CT,RO04,
,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,
,,
X B,,
,,
MATHS,MA05,
PHY,NE01,
CHEM,RO04,
CS,RO05,
BIO,MO01,
HIST,KA03,
GEO,NI04,
HINDI,AM02,
ENG,EE01,
PED,PE02,
PHY&CHEM PR,NE01,RO04
BIO PR,MO01,
LIBS,LI01,
COMP.PR.1,RO05,
CT,EE01,
CO-CT,NE01,
,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,
,,
X C,,
,,
MATHS,IS02,
PHY,NE01,
CHEM,AD03,
CS,NI01,
BIO,NI02,
HIST,VA01,
GEO,AL01,
HINDI,RA06,
ENG,AR01,
PED,PE03,
PHY&CHEM PR,NE01,AD03
BIO PR,NI02,
LIBS,LI01,
COMP.PR.1,NI01,
CT,IS02,
CO-CT,NI02,
,,
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,
,,
X D,,
,,
MATHS,MA04,
PHY,NE01,
CHEM,AD03,
CS,AN06,
BIO,KU01,
HIST,HI01,
GEO,IR01,
HINDI,AA03,
ENG,EE01,
PED,PE03,
PHY&CHEM PR,NE01,AD03
